,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
0,2023-06-30,000300,沪深300,CSI 300,300014,亿纬锂能,Eve Energy Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.393
1,2023-06-30,000300,沪深300,CSI 300,300015,爱尔眼科,Aier Eye Hospital Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.458
2,2023-06-30,000300,沪深300,CSI 300,600150,中国船舶,China CSSC Holdings Limited,上海证券交易所,Shanghai Stock Exchange,0.389
3,2023-06-30,000300,沪深300,CSI 300,600188,兖矿能源,Yankuang Energy Group Company Limited,上海证券交易所,Shanghai Stock Exchange,0.145
4,2023-06-30,000300,沪深300,CSI 300,600039,四川路桥,Sichuan Road&Bridge Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.136
5,2023-06-30,000300,沪深300,CSI 300,600900,长江电力,China Yangtze Power Co Ltd,上海证券交易所,Shanghai Stock Exchange,1.143
6,2023-06-30,000300,沪深300,CSI 300,600332,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,上海证券交易所,Shanghai Stock Exchange,0.119
7,2023-06-30,000300,沪深300,CSI 300,600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.215
8,2023-06-30,000300,沪深300,CSI 300,600176,中国巨石,"CHINA JUSHI CO., LTD.",上海证券交易所,Shanghai Stock Exchange,0.18
9,2023-06-30,000300,沪深300,CSI 300,600600,青岛啤酒,Tsingtao Brewery Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.194
10,2023-06-30,000300,沪深300,CSI 300,600690,海尔智家,"Haier Smart Home Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.47
11,2023-06-30,000300,沪深300,CSI 300,600028,中国石化,China Petroleum & Chemical Corporation,上海证券交易所,Shanghai Stock Exchange,0.64
12,2023-06-30,000300,沪深300,CSI 300,600346,恒力石化,"Hengli Petrochemical Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.16
13,2023-06-30,000300,沪深300,CSI 300,002120,韵达股份,"YUNDA Holding CO., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.073
14,2023-06-30,000300,沪深300,CSI 300,601390,中国中铁,China Railway Group Limited,上海证券交易所,Shanghai Stock Exchange,0.412
15,2023-06-30,000300,沪深300,CSI 300,601618,中国中冶,Metallurgical Corporation of China Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.15
16,2023-06-30,000300,沪深300,CSI 300,600219,南山铝业,"Shandong Nanshan Aluminium Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.112
17,2023-06-30,000300,沪深300,CSI 300,600837,海通证券,Haitong Securities Company Limited,上海证券交易所,Shanghai Stock Exchange,0.471
18,2023-06-30,000300,沪深300,CSI 300,600132,重庆啤酒,Chongqing Brewery Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.118
19,2023-06-30,000300,沪深300,CSI 300,600115,中国东航,"China Eastern Airlines Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.172
20,2023-06-30,000300,沪深300,CSI 300,600104,上汽集团,SAIC Motor Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.35
21,2023-06-30,000300,沪深300,CSI 300,600031,三一重工,Sany Heavy Industry Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.523
22,2023-06-30,000300,沪深300,CSI 300,000977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.264
23,2023-06-30,000300,沪深300,CSI 300,002202,金风科技,Xinjiang Goldwind Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.155
24,2023-06-30,000300,沪深300,CSI 300,300059,东方财富,East Money Information Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.953
25,2023-06-30,000300,沪深300,CSI 300,601818,光大银行,China Everbright Bank Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.302
26,2023-06-30,000300,沪深300,CSI 300,600406,国电南瑞,"NARI Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.491
27,2023-06-30,000300,沪深300,CSI 300,600760,中航沈飞,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,上海证券交易所,Shanghai Stock Exchange,0.262
28,2023-06-30,000300,沪深300,CSI 300,600795,国电电力,GD Power Development Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.181
29,2023-06-30,000300,沪深300,CSI 300,600061,国投资本,"SDIC Capital Co., Ltd",上海证券交易所,Shanghai Stock Exchange,0.097
30,2023-06-30,000300,沪深300,CSI 300,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.876
31,2023-06-30,000300,沪深300,CSI 300,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.321
32,2023-06-30,000300,沪深300,CSI 300,600809,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.478
33,2023-06-30,000300,沪深300,CSI 300,600460,士兰微,Hangzhou Silan Microelectronics Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.136
34,2023-06-30,000300,沪深300,CSI 300,600030,中信证券,CITIC Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange,1.022
35,2023-06-30,000300,沪深300,CSI 300,600803,新奥股份,"ENN Ecological Holdings Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.093
36,2023-06-30,000300,沪深300,CSI 300,600362,江西铜业,Jiangxi Copper Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.104
37,2023-06-30,000300,沪深300,CSI 300,600233,圆通速递,"YTO Express Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.133
38,2023-06-30,000300,沪深300,CSI 300,600585,海螺水泥,Anhui Conch Cement Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.301
39,2023-06-30,000300,沪深300,CSI 300,600036,招商银行,China Merchants Bank Co Ltd,上海证券交易所,Shanghai Stock Exchange,2.146
40,2023-06-30,000300,沪深300,CSI 300,000768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,深圳证券交易所,Shenzhen Stock Exchange,0.197
41,2023-06-30,000300,沪深300,CSI 300,000776,广发证券,"GF Securities Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.23
42,2023-06-30,000300,沪深300,CSI 300,000792,盐湖股份,Qinghai Salt Lake Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.551
43,2023-06-30,000300,沪深300,CSI 300,600519,贵州茅台,Kweichow Moutai Co Ltd,上海证券交易所,Shanghai Stock Exchange,5.621
