,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
0,2023-06-30,000906,中证800,CSI 800,002407,多氟多,Do-Fluoride Chemicals Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.083
1,2023-06-30,000906,中证800,CSI 800,002408,齐翔腾达,Zibo Qixiang Tengda Chemical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.042
2,2023-06-30,000906,中证800,CSI 800,300012,华测检测,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.128
3,2023-06-30,000906,中证800,CSI 800,300014,亿纬锂能,Eve Energy Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.289
4,2023-06-30,000906,中证800,CSI 800,300015,爱尔眼科,Aier Eye Hospital Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.337
5,2023-06-30,000906,中证800,CSI 800,300017,网宿科技,"Wangsu Science and Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.067
6,2023-06-30,000906,中证800,CSI 800,002500,山西证券,Shanxi Securities Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.047
7,2023-06-30,000906,中证800,CSI 800,600131,国网信通,"State Grid Information&Communication Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.038
8,2023-06-30,000906,中证800,CSI 800,600157,永泰能源,"WINTIME ENERGY GROUP CO.,LTD.",上海证券交易所,Shanghai Stock Exchange,0.123
9,2023-06-30,000906,中证800,CSI 800,600150,中国船舶,China CSSC Holdings Limited,上海证券交易所,Shanghai Stock Exchange,0.286
10,2023-06-30,000906,中证800,CSI 800,600166,福田汽车,Beiqi Foton Motor Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.064
11,2023-06-30,000906,中证800,CSI 800,600153,建发股份,Xiamen C&D Inc,上海证券交易所,Shanghai Stock Exchange,0.064
12,2023-06-30,000906,中证800,CSI 800,600161,天坛生物,Beijing Tiantan Biological Products Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.087
13,2023-06-30,000906,中证800,CSI 800,600170,上海建工,Shanghai Construction Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.065
14,2023-06-30,000906,中证800,CSI 800,600160,巨化股份,Zhejiang Ju Hua Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.072
